Date,Indicator,Value,Year,Classification,Category,Region,Consumption (GWh)
2015-07,Central region - Maximum - (GW),18.5,2015,Energy sales,Commercial,Eastern,4779
2015-07,Central region - Average - (GW),15.7,2015,Energy sales,Commercial,Western,5742
2015-08,Eastern region - Minimum (GW),14.8,2015,Energy sales,Commercial,Sum by category,17191
2015-08,Eastern region - Average (GW),16.8,2015,Energy sales,Government,Central,7130
2015-08,Western region - Average - (GW),14.6,2015,Energy sales,Industrial,Eastern,26568
2015-09,Western region - Minimum - (GW),10.8,2015,Energy sales,Others,Southern,727
2015-10,Central region - Average - (GW),12.3,2015,Energy sales,Others,Western,4386
2015-10,Southern region - Average - (GW),3.7,2015,Energy sales,Commercial,Central,7111
2015-11,Eastern region - Minimum (GW),9.7,2015,Energy sales,Government,Central,7584
2015-11,Western region - Maximum - (GW),12.1,2015,Energy sales,Government,Southern,1268
2015-11,Southern region - Maximum - (GW),4.2,2015,Energy sales,Industrial,Southern,106
2015-12,Eastern region - Maximum (GW),12.1,2015,Energy sales,Industrial,Western,6555
2015-12,Central region - Average - (GW),8.2,2015,Energy sales,Others,Western,4089
2015-12,Southern region - Maximum - (GW),3.9,2015,Energy sales,Sum by regions,Central,52096
2016-01,Eastern region - Maximum (GW),12.5,2016,Energy sales,Commercial,Eastern,5176
2016-01,Central region - Minimum - (GW),6,2016,Energy sales,Government,Central,8311
2016-02,Eastern region - Maximum (GW),12.5,2016,Energy sales,Government,Eastern,5079
2016-02,Western region - Minimum - (GW),5,2016,Energy sales,Industrial,Central,3504
2016-02,Central region - Maximum - (GW),10.9,2016,Energy sales,Industrial,Western,7340
2016-02,Southern region - Minimum - (GW),2.4,2016,Energy sales,Sum by regions,Central,55984
2016-03,Eastern region - Average (GW),11.5,2016,Energy sales,Sum by regions,Sum by category,187163
2016-03,Central region - Minimum - (GW),5.7,2016,Energy sales,Residential,Sum by category,101169
2016-04,Eastern region - Minimum (GW),10.1,2016,Energy sales,Industrial,Central,3860
2016-05,Western region - Minimum - (GW),10,2016,Energy sales,Industrial,Western,7960
2016-05,Western region - Average - (GW),12.7,2016,Energy sales,Industrial,Sum by category,38864
2016-06,Eastern region - Maximum (GW),18.3,2016,Energy sales,Others,Central,6482
2016-06,Western region - Minimum - (GW),11.2,2016,Energy sales,Others,Western,4189
2016-07,Eastern region - Maximum (GW),18.3,2016,Energy sales,Sum by regions,Central,58584
2016-08,Eastern region - Minimum (GW),15,2016,Energy sales,Sum by regions,Western,65292
2016-10,Eastern region - Minimum (GW),10.8,2016,Energy sales,Residential,Central,34836
2016-11,Eastern region - Maximum (GW),14.7,2016,Energy sales,Commercial,Southern,2244
2016-11,Western region - Average - (GW),9.4,2016,Energy sales,Government,Central,9218
2016-11,Central region - Average - (GW),7.8,2016,Energy sales,Others,Eastern,1933
2016-12,Eastern region - Average (GW),11.4,2016,Energy sales,Sum by regions,Central,63745
2016-12,Western region - Minimum - (GW),5.4,2016,Energy sales,Residential,Eastern,21311
2017-01,Western region - Maximum - (GW),9.4,2017,Energy sales,Commercial,Eastern,6767
2017-01,Western region - Average - (GW),7.3,2017,Energy sales,Government,Central,8759
2017-01,Central region - Minimum - (GW),6.1,2017,Energy sales,Others,Central,5506
2017-01,Central region - Maximum - (GW),10.7,2017,Energy sales,Others,Eastern,1895
2017-01,Southern region - Maximum - (GW),4,2017,Energy sales,Others,Sum by category,11901
2017-02,Eastern region - Average (GW),10.9,2017,Energy sales,Sum by regions,Central,67663
2017-02,Southern region - Minimum - (GW),2.4,2017,Energy sales,Commercial,Central,12172
2017-02,Southern region - Maximum - (GW),4.1,2017,Energy sales,Commercial,Western,14126
2017-04,Eastern region - Maximum (GW),14.9,2017,Energy sales,Government,Western,6941
2017-04,Southern region - Maximum - (GW),5,2017,Energy sales,Industrial,Southern,304
2017-06,Western region - Minimum - (GW),10.9,2017,Energy sales,Industrial,Sum by category,46627
2017-06,Southern region - Maximum - (GW),5.7,2017,Energy sales,Others,Central,5819
2017-07,Eastern region - Average (GW),17.2,2017,Energy sales,Others,Southern,1035
2017-07,Western region - Average - (GW),14.2,2017,Energy sales,Residential,Sum by category,126113
2017-07,Central region - Minimum - (GW),14.1,2017,Energy sales,Commercial,Eastern,8217
2017-07,Central region - Average - (GW),17.9,2017,Energy sales,Commercial,Sum by category,39648
2017-08,Eastern region - Minimum (GW),15.7,2017,Energy sales,Industrial,Western,11067
2017-08,Southern region - Minimum - (GW),3.7,2017,Energy sales,Industrial,Sum by category,55636
2017-08,Southern region - Average - (GW),4.9,2017,Energy sales,Residential,Eastern,25867
2017-09,Western region - Minimum - (GW),10.9,2017,Energy sales,Residential,Sum by category,134363
2017-09,Southern region - Minimum - (GW),3.4,2017,Energy sales,Commercial,Southern,3581
2017-09,Southern region - Maximum - (GW),5.4,2017,Energy sales,Government,Southern,3195
2017-10,Eastern region - Minimum (GW),12.7,2017,Energy sales,Government,Sum by category,30280
2017-10,Western region - Minimum - (GW),9.2,2017,Energy sales,Sum by regions,Eastern,82360
2017-10,Central region - Maximum - (GW),16,2017,Energy sales,Industrial,Eastern,32412
2017-10,Central region - Average - (GW),12.2,2017,Energy sales,Industrial,Sum by category,51857
2017-10,Southern region - Average - (GW),4.1,2017,Energy sales,Others,Southern,1563
2017-11,Central region - Minimum - (GW),6,2017,Energy sales,Sum by regions,Southern,27218
2017-11,Southern region - Average - (GW),3.6,2017,Energy sales,Residential,Sum by category,143661
2017-12,Eastern region - Maximum (GW),12.5,2017,Energy sales,Industrial,Sum by category,53587
2017-12,Central region - Minimum - (GW),6.2,2017,Energy sales,Others,Western,5608
2017-12,Central region - Maximum - (GW),11.6,2017,Energy sales,Sum by regions,Sum by category,296673
2017-12,Southern region - Average - (GW),3.2,2017,Energy sales,Residential,Central,48187
2018-01,Western region - Average - (GW),7.3,2018,Energy sales,Residential,Southern,17313
2018-01,Central region - Minimum - (GW),6.1,2018,Energy sales,Residential,Western,50353
2018-02,Western region - Minimum - (GW),4.7,2018,Energy sales,Commercial,Central,17030
2018-02,Central region - Average - (GW),8.7,2018,Energy sales,Government,Southern,4393
2018-03,Western region - Minimum - (GW),6.2,2018,Energy sales,Industrial,Western,13517
2018-03,Western region - Maximum - (GW),10.8,2018,Energy sales,Sum by regions,Central,90799
2018-03,Central region - Minimum - (GW),5.8,2018,Energy sales,Residential,Eastern,25189
2018-03,Central region - Maximum - (GW),10.7,2018,Energy sales,Commercial,Sum by category,47185
2018-04,Western region - Minimum - (GW),7.7,2018,Energy sales,Industrial,Central,6430
2018-05,Western region - Maximum - (GW),15.6,2018,Energy sales,Industrial,Sum by category,58197
2018-06,Eastern region - Maximum (GW),18.3,2018,Energy sales,Others,Southern,1896
2018-06,Eastern region - Average (GW),16,2018,Energy sales,Sum by regions,Eastern,83880
2018-06,Southern region - Maximum - (GW),5.7,2018,Energy sales,Residential,Western,44575
2018-07,Western region - Minimum - (GW),11.7,2018,Energy sales,Commercial,Eastern,9156
2018-08,Western region - Minimum - (GW),12.7,2018,Energy sales,Commercial,Sum by category,46820
2018-08,Western region - Average - (GW),15.1,2018,Energy sales,Industrial,Western,6608
2018-09,Eastern region - Minimum (GW),14.3,2018,Energy sales,Sum by regions,Central,83989
2018-09,Central region - Minimum - (GW),11.3,2018,Energy sales,Sum by regions,Southern,28941
2018-09,Central region - Average - (GW),15.2,2018,Energy sales,Sum by regions,Western,84353
2018-10,Central region - Maximum - (GW),16,2018,Customers numbers,Residential,Central,1173525
2018-10,Southern region - Average - (GW),4.1,2018,Customers numbers,Government,Southern,14019
2018-11,Western region - Average - (GW),9.6,2018,Customers numbers,Others,Southern,14236
2018-11,Southern region - Minimum - (GW),2.7,2018,Customers numbers,Sum by regions,Eastern,805488
2018-11,Southern region - Maximum - (GW),4.4,2018,Customers numbers,Sum by regions,Southern,595766
2018-12,Southern region - Maximum - (GW),4.2,2018,Customers numbers,Residential,Central,1220291
2019-01,Central region - Minimum - (GW),6.3,2019,Customers numbers,Government,Central,32768
2019-02,Western region - Minimum - (GW),5,2019,Customers numbers,Government,Eastern,15656
2019-02,Central region - Minimum - (GW),6.3,2019,Customers numbers,Government,Western,38837
2019-03,Western region - Minimum - (GW),5,2019,Customers numbers,Industrial,Eastern,1891
2019-03,Western region - Maximum - (GW),9.7,2019,Customers numbers,Others,Southern,14901
2019-04,Eastern region - Average (GW),12.5,2019,Customers numbers,Sum by regions,Southern,630590
2019-04,Western region - Minimum - (GW),5.8,2019,Customers numbers,Sum by regions,Sum by category,4969001
2019-05,Western region - Minimum - (GW),10.2,2019,Customers numbers,Industrial,Central,2152
2019-05,Western region - Average - (GW),12.6,2019,Customers numbers,Industrial,Eastern,2007
2019-05,Southern region - Maximum - (GW),5.2,2019,Customers numbers,Industrial,Southern,265
2019-06,Eastern region - Minimum (GW),14.2,2019,Customers numbers,Industrial,Western,2351
2019-06,Southern region - Maximum - (GW),5.7,2019,Customers numbers,Sum by regions,Sum by category,5196015
2019-08,Southern region - Average - (GW),4.8,2019,Customers numbers,Government,Western,41242
2019-09,Eastern region - Average (GW),16.4,2019,Customers numbers,Others,Western,29722
2019-12,Eastern region - Average (GW),11.5,2019,Customers numbers,Sum by regions,Southern,704140
2019-12,Southern region - Maximum - (GW),4.4,2019,Customers numbers,Residential,Central,1380254
2009-01,Southern region - Minimum - (GW),1.3,2009,Customers numbers,Commercial,Western,237493
2009-02,Central region - Maximum - (GW),7.2,2009,Customers numbers,Government,Central,40522
2009-04,Eastern region - Minimum (GW),7.1,2009,Customers numbers,Sum by regions,Western,2183003
2009-04,Southern region - Maximum - (GW),2.9,2009,Customers numbers,Residential,Central,1460216
2009-05,Central region - Average - (GW),9.3,2009,Customers numbers,Commercial,Eastern,189176
2009-05,Southern region - Minimum - (GW),1.9,2009,Customers numbers,Industrial,Eastern,2148
2009-05,Southern region - Maximum - (GW),3.1,2009,Customers numbers,Sum by regions,Eastern,1043249
2009-07,Western region - Minimum - (GW),8.7,2009,Customers numbers,Residential,Eastern,853716
2009-09,Eastern region - Maximum (GW),12.8,2009,Customers numbers,Residential,Southern,709090
2009-09,Eastern region - Average (GW),11.4,2009,Customers numbers,Commercial,Central,351242
2009-09,Western region - Minimum - (GW),7.5,2009,Customers numbers,Government,Sum by category,119935
2009-09,Central region - Maximum - (GW),13,2009,Customers numbers,Industrial,Eastern,2173
2009-09,Southern region - Maximum - (GW),3.3,2009,Customers numbers,Others,Central,69305
2009-10,Southern region - Maximum - (GW),2.9,2009,Customers numbers,Residential,Eastern,918160
2009-11,Central region - Maximum - (GW),7.9,2009,Customers numbers,Residential,Sum by category,5347126
2009-11,Central region - Average - (GW),5.2,2009,Customers numbers,Commercial,Southern,104575
2009-12,Eastern region - Average (GW),7.6,2009,Customers numbers,Industrial,Central,2990
2009-12,Central region - Maximum - (GW),7.5,2009,Customers numbers,Industrial,Eastern,2236
2009-12,Southern region - Minimum - (GW),1.3,2009,Customers numbers,Industrial,Western,2731
2010-01,Eastern region - Average (GW),7.2,2010,Customers numbers,Industrial,Sum by category,8281
2010-01,Western region - Minimum - (GW),3.8,2010,Customers numbers,Residential,Western,2117340
2010-02,Eastern region - Minimum (GW),6.5,2010,Customers numbers,Residential,Sum by category,5685355
2010-03,Southern region - Maximum - (GW),2.5,2010,Customers numbers,Commercial,Eastern,228662
2010-04,Central region - Minimum - (GW),4.7,2010,Customers numbers,Government,Southern,26350
2010-05,Eastern region - Average (GW),10.3,2010,Customers numbers,Industrial,Eastern,2326
2010-05,Western region - Average - (GW),9.1,2010,Customers numbers,Industrial,Southern,332
2010-06,Eastern region - Minimum (GW),9.8,2010,Customers numbers,Others,Central,77545
2010-06,Western region - Maximum - (GW),12.5,2010,Customers numbers,Sum by regions,Sum by category,7159368
2010-06,Central region - Average - (GW),11.4,2010,Customers numbers,Residential,Central,1865973
2010-07,Eastern region - Maximum (GW),13.1,2010,Customers numbers,Residential,Southern,855009
2010-07,Western region - Average - (GW),10.5,2010,Customers numbers,Commercial,Western,472004
2010-07,Central region - Maximum - (GW),13.3,2010,Customers numbers,Government,Eastern,23035
2010-07,Southern region - Maximum - (GW),3.1,2010,Customers numbers,Sum by regions,Central,2473073
2010-07,Southern region - Average - (GW),2.7,2010,Customers numbers,Sum by regions,Southern,1048404
2010-08,Eastern region - Maximum (GW),13.4,2010,Customers numbers,Sum by regions,Western,2742328
2010-08,Eastern region - Average (GW),12.2,2010,Customers numbers,Residential,Sum by category,6433895
2010-08,Western region - Minimum - (GW),9.1,2010,Customers numbers,Commercial,Eastern,256713
2010-09,Eastern region - Minimum (GW),9.7,2010,Customers numbers,Government,Western,43682
2010-09,Eastern region - Maximum (GW),12.8,2010,Customers numbers,Industrial,Southern,388
2010-09,Central region - Maximum - (GW),13,2010,Customers numbers,Industrial,Sum by category,9431
2010-10,Western region - Minimum - (GW),6.4,2010,Customers numbers,Others,Central,86506
2010-11,Eastern region - Minimum (GW),6.9,2010,Customers numbers,Residential,Central,2111715
2010-11,Eastern region - Average (GW),8.2,2010,Customers numbers,Residential,Sum by category,6760629
2010-11,Central region - Minimum - (GW),3.6,2010,Customers numbers,Commercial,Western,497614
2010-11,Southern region - Average - (GW),2.1,2010,Customers numbers,Commercial,Sum by category,1473487
2010-12,Eastern region - Minimum (GW),6.7,2010,Customers numbers,Government,Southern,33659
2010-12,Eastern region - Maximum (GW),8.5,2010,Customers numbers,Industrial,Sum by category,10184
2010-12,Central region - Average - (GW),5.5,2010,Customers numbers,Others,Central,90876
2011-01,Western region - Minimum - (GW),3.6,2011,Customers numbers,Others,Southern,28963
2011-01,Southern region - Minimum - (GW),1.3,2011,Customers numbers,Sum by regions,Eastern,1543995
2011-02,Southern region - Minimum - (GW),1.5,2011,Customers numbers,Commercial,Central,572170
2011-03,Western region - Average - (GW),6.2,2011,Customers numbers,Commercial,Southern,167878
2011-04,Western region - Minimum - (GW),4.9,2011,Customers numbers,Commercial,Western,533927
2011-04,Central region - Maximum - (GW),4.5,2011,Customers numbers,Government,Central,47545
2011-04,Southern region - Average - (GW),2.5,2011,Customers numbers,Government,Sum by category,157468
2011-05,Western region - Maximum - (GW),12,2011,Customers numbers,Industrial,Southern,498
2011-07,Western region - Average - (GW),11,2011,Customers numbers,Others,Eastern,40585
2011-07,Central region - Maximum - (GW),9.7,2011,Customers numbers,Others,Western,54407
2011-09,Eastern region - Maximum (GW),13,2011,Customers numbers,Sum by regions,Sum by category,9069513
2011-09,Central region - Minimum - (GW),13.2,2011,Customers numbers,Commercial,Central,585895
2011-10,Eastern region - Minimum (GW),8,2011,Customers numbers,Commercial,Southern,173050
2011-10,Central region - Maximum - (GW),5.5,2011,Customers numbers,Commercial,Western,548119
2011-10,Southern region - Minimum - (GW),1.9,2011,Customers numbers,Government,Eastern,26174
2011-11,Southern region - Minimum - (GW),1.1,2011,Customers numbers,Government,Western,48144
2011-11,Southern region - Average - (GW),2.3,2011,Customers numbers,Sum by regions,Sum by category,9434489
2011-12,Eastern region - Minimum (GW),7.3,2011,Customers numbers,Others,Central,100292
2011-12,Western region - Average - (GW),6.2,2011,Customers numbers,Sum by regions,Eastern,1733854
2011-12,Central region - Minimum - (GW),9,2011,Energy sales,Residential,Southern,8178
2012-01,Eastern region - Maximum (GW),8.5,2012,Energy sales,Government,Eastern,4421
2012-02,Eastern region - Minimum (GW),4.2,2012,Energy sales,Residential,Central,27477
2012-02,Western region - Minimum - (GW),4.1,2012,Energy sales,Commercial,Eastern,8665
2012-02,Western region - Maximum - (GW),7.9,2012,Energy sales,Commercial,Western,16614
2012-02,Central region - Maximum - (GW),9,2012,Energy sales,Government,Eastern,9713
2012-02,Southern region - Maximum - (GW),2.8,2012,Customers numbers,Commercial,Sum by category,1616594
2012-03,Eastern region - Minimum (GW),4.2,2012,Customers numbers,Government,Southern,35967
2012-03,Western region - Minimum - (GW),3.8,2012,Customers numbers,Others,Central,98130
2012-03,Central region - Average - (GW),7.9,2012,Customers numbers,Residential,Central,2375203
2012-03,Southern region - Average - (GW),2.3,2012,Customers numbers,Government,Eastern,27169
2012-04,Central region - Minimum - (GW),7.4,2012,Energy sales,Industrial,Central,3019
2009-01,Eastern region - Minimum (GW),6.2,2009,Energy sales,Government,Eastern,4843
2009-01,Central region - Average - (GW),5.2,2009,Energy sales,Others,Central,4908
2009-02,Eastern region - Average (GW),7.4,2009,Energy sales,Sum by regions,Western,53326
2009-02,Southern region - Maximum - (GW),2.3,2009,Energy sales,Residential,Eastern,17328
2009-03,Eastern region - Minimum (GW),6.7,2009,Energy sales,Residential,Sum by category,90211
2009-03,Eastern region - Maximum (GW),9.1,2009,Energy sales,Commercial,Southern,1021
2009-03,Western region - Average - (GW),6.5,2009,Energy sales,Industrial,Central,3748
2009-03,Central region - Minimum - (GW),3.8,2009,Energy sales,Residential,Eastern,18570
2009-03,Southern region - Average - (GW),2,2009,Energy sales,Residential,Southern,10458
2009-04,Western region - Maximum - (GW),10,2009,Energy sales,Residential,Sum by category,97012
2009-04,Central region - Minimum - (GW),4.7,2009,Energy sales,Government,Western,5784
2009-05,Western region - Minimum - (GW),6.3,2009,Energy sales,Industrial,Eastern,25037
2009-06,Central region - Minimum - (GW),8.7,2009,Energy sales,Industrial,Southern,110
2009-07,Eastern region - Maximum (GW),13.1,2009,Energy sales,Industrial,Sum by category,35991
2009-07,Central region - Minimum - (GW),9.1,2009,Energy sales,Commercial,Western,8098
2009-08,Western region - Minimum - (GW),9.1,2009,Energy sales,Government,Eastern,5783
2009-08,Southern region - Maximum - (GW),3.3,2009,Energy sales,Government,Western,6501
2009-09,Eastern region - Minimum (GW),9.7,2009,Energy sales,Industrial,Eastern,26773
2009-11,Eastern region - Maximum (GW),9.9,2009,Energy sales,Others,Southern,784
2009-11,Eastern region - Average (GW),8.2,2009,Energy sales,Others,Sum by category,13285
2009-11,Western region - Average - (GW),7.6,2009,Energy sales,Sum by regions,Sum by category,199497
2009-11,Southern region - Minimum - (GW),1.5,2009,Energy sales,Government,Eastern,6640
2009-12,Eastern region - Maximum (GW),8.5,2009,Energy sales,Industrial,Central,4507
2009-12,Central region - Average - (GW),5.5,2009,Energy sales,Industrial,Eastern,29655
2010-01,Western region - Average - (GW),5.3,2010,Energy sales,Sum by regions,Western,71101
2010-01,Southern region - Average - (GW),1.8,2010,Energy sales,Sum by regions,Sum by category,218253
2010-02,Central region - Minimum - (GW),3.8,2010,Energy sales,Residential,Southern,12172
